,id,season,week,season_type,date,home_team,home_conference,home_score,away_team,away_conference,away_score,formatted_spread,home_spread,home_result,home_diff,away_spread,away_result,away_diff,covering_team,vegas_error,game_winner,favorite,underdog,within_td,correct_predict
56,401014980,2018,1,regular,2018-09-01,UTEP,Conference USA,10.0,Northern Arizona,Big Sky,30.0,Northern Arizona -7,7.0,20.0,-13.0,-7.0,-20.0,13.0,Northern Arizona,13.0,Northern Arizona,Northern Arizona,UTEP,Fav Cover by +7,Yes
57,401019472,2018,1,regular,2018-09-01,South Florida,American Athletic,34.0,Elon,CAA,14.0,South Florida -27,-27.0,-20.0,-7.0,27.0,20.0,7.0,Elon,7.0,South Florida,South Florida,Elon,Vegas Within 7,Yes
58,401019473,2018,1,regular,2018-09-01,Temple,American Athletic,17.0,Villanova,CAA,19.0,Temple -15,-15.0,2.0,-17.0,15.0,-2.0,17.0,Villanova,17.0,Villanova,Temple,Villanova,Dog Cover by +7,No
59,401019476,2018,1,regular,2018-09-01,Tulsa,American Athletic,38.0,Central Arkansas,Southland,27.0,Tulsa -11.5,-11.5,-11.0,-0.5,11.5,11.0,0.5,Central Arkansas,0.5,Tulsa,Tulsa,Central Arkansas,Vegas Within 7,Yes
60,401020675,2018,1,regular,2018-09-01,Ohio,Mid-American,38.0,Howard,MEAC,32.0,Ohio -31,-31.0,-6.0,-25.0,31.0,6.0,25.0,Howard,25.0,Ohio,Ohio,Howard,Dog Cover by +7,Yes
61,401020676,2018,1,regular,2018-09-01,Toledo,Mid-American,66.0,VMI,Southern,3.0,Toledo -48.5,-48.5,-63.0,14.5,48.5,63.0,-14.5,Toledo,14.5,Toledo,Toledo,VMI,Fav Cover by +7,Yes
62,401021652,2018,1,regular,2018-09-01,Arkansas State,Sun Belt,48.0,Southeast Missouri State,OVC,21.0,Arkansas State -32.5,-32.5,-27.0,-5.5,32.5,27.0,5.5,Southeast Missouri State,5.5,Arkansas State,Arkansas State,Southeast Missouri State,Vegas Within 7,Yes
63,401021653,2018,1,regular,2018-09-01,Georgia Southern,Sun Belt,37.0,South Carolina State,MEAC,6.0,Georgia Southern -28,-28.0,-31.0,3.0,28.0,31.0,-3.0,Georgia Southern,3.0,Georgia Southern,Georgia Southern,South Carolina State,Vegas Within 7,Yes
64,401021654,2018,1,regular,2018-09-01,Louisiana,Sun Belt,49.0,Grambling,SWAC,17.0,Louisiana -14,-14.0,-32.0,18.0,14.0,32.0,-18.0,Louisiana,18.0,Louisiana,Louisiana,Grambling,Fav Cover by +7,Yes
65,401021656,2018,1,regular,2018-09-01,Troy,Sun Belt,20.0,Boise State,Mountain West,56.0,Boise State -9.5,9.5,36.0,-26.5,-9.5,-36.0,26.5,Boise State,26.5,Boise State,Boise State,Troy,Fav Cover by +7,Yes
66,401022512,2018,1,regular,2018-09-01,Stanford,Pac-12,31.0,San Diego State,Mountain West,10.0,Stanford -14,-14.0,-21.0,7.0,14.0,21.0,-7.0,Stanford,7.0,Stanford,Stanford,San Diego State,Vegas Within 7,Yes
67,401022514,2018,1,regular,2018-09-01,Air Force,Mountain West,38.0,Stony Brook,CAA,0.0,Air Force -14.5,-14.5,-38.0,23.5,14.5,38.0,-23.5,Air Force,23.5,Air Force,Air Force,Stony Brook,Fav Cover by +7,Yes
68,401022517,2018,1,regular,2018-09-01,Nevada,Mountain West,72.0,Portland State,Big Sky,19.0,Nevada -28,-28.0,-53.0,25.0,28.0,53.0,-25.0,Nevada,25.0,Nevada,Nevada,Portland State,Fav Cover by +7,Yes
69,401012246,2018,1,regular,2018-09-02,Alabama,SEC,51.0,Louisville,ACC,14.0,Alabama -24,-24.0,-37.0,13.0,24.0,37.0,-13.0,Alabama,13.0,Alabama,Alabama,Louisville,Fav Cover by +7,Yes
70,401012676,2018,1,regular,2018-09-02,Arizona,Pac-12,23.0,BYU,FBS Independents,28.0,Arizona -11,-11.0,5.0,-16.0,11.0,-5.0,16.0,BYU,16.0,BYU,Arizona,BYU,Dog Cover by +7,No
71,401012677,2018,1,regular,2018-09-02,Arizona State,Pac-12,49.0,UT San Antonio,Conference USA,7.0,Arizona State -17.5,-17.5,-42.0,24.5,17.5,42.0,-24.5,Arizona State,24.5,Arizona State,Arizona State,UT San Antonio,Fav Cover by +7,Yes
72,401012681,2018,1,regular,2018-09-02,Oregon,Pac-12,58.0,Bowling Green,Mid-American,24.0,Oregon -34,-34.0,-34.0,0.0,34.0,34.0,-0.0,Bowling Green,0.0,Oregon,Oregon,Bowling Green,Vegas Within 7,Yes
73,401013026,2018,1,regular,2018-09-02,Baylor,Big 12,55.0,Abilene Christian,Southland,27.0,Baylor -41,-41.0,-28.0,-13.0,41.0,28.0,13.0,Abilene Christian,13.0,Baylor,Baylor,Abilene Christian,Dog Cover by +7,Yes
74,401013095,2018,1,regular,2018-09-02,LSU,SEC,33.0,Miami,ACC,17.0,Miami -3,3.0,-16.0,19.0,-3.0,16.0,-19.0,LSU,19.0,LSU,Miami,LSU,Dog Cover by +7,No
